movieId,title,genres,imdbId,tmdbId,overview,poster_path,release_date,vote_average,vote_count
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,1995-11-22,7.971,19328.0
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",/iWV47r6kFneCiApgrMII5HSkfHw.jpg,1995-12-15,7.243,10978.0
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,1995-12-22,6.5,410.0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",/qJU6rfil5xLVb5HpJsmmfeSK254.jpg,1995-12-22,6.3,179.0
5,Father of the Bride Part II (1995),Comedy,113041,11862,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,1995-12-08,6.272,780.0
6,Heat (1995),Action|Crime|Thriller,113277,949,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,1995-12-15,7.9,7936.0
7,Sabrina (1995),Comedy|Romance,114319,11860,"Sabrina Fairchild, a chauffeur's daughter, grew up at the Long Island estate of the wealthy Larrabee family enchanted with their sparkling world of privilege and wealth, but she's especially enamored of younger son David, a charming playboy. After the once plain Sabrina returns from a sojourn in Paris transformed into a glamorous young woman, she at long last catches David's eye. In a calculated effort to manipulate David away from her and into a more financially advantageous marriage, formidable older brother Linus devises a plan to keep them apart.",/i8PbLJDPU7vCwwscWD625oHbJy.jpg,1995-12-15,6.2,657.0
8,Tom and Huck (1995),Adventure|Children,112302,45325,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",/bMY31ikEOIPOHqQwhPhII8UVBln.jpg,1995-12-22,5.261,203.0
9,Sudden Death (1995),Action,114576,9091,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,1995-10-27,6.0,774.0
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.",/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,1995-11-16,6.899,4158.0
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,1995-11-17,6.526,755.0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,1995-12-22,6.081,1052.0
13,Balto (1995),Adventure|Animation|Children,112453,21032,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,1995-12-22,7.3,2118.0
14,Nixon (1995),Drama,113987,10858,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,1995-12-22,6.9,385.0
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,1995-12-22,5.8,594.0
